192.168.237.167-34.237.73.95-443-13174-6,192.168.237.167,13174,34.237.73.95,443,6,OTH,0.0,0,663,128,128,0,0,TCP,0,0,0,3,256,256,241,262,0,221,0,0,0.0,0.0,2024-09-03T12:57:19.425105,2024-09-03T12:57:19.425105,0.0,0.0,0.0,0.054512,0.0,False,0,0,False,0,1,0,3,155,109,3,0,
192.168.237.167-3.224.72.103-443-13339-6,192.168.237.167,13339,3.224.72.103,443,6,OTH,0.0,0,16594,128,128,0,0,TCP,0,0,0,32,65024,65024,8819,6025,0,518,0,0,0.0,0.0,2024-09-03T12:57:27.858677,2024-09-03T12:57:27.858677,0.0,0.0,0.512484,0.043834,0.0,False,0,0,False,0,12,7,32,261,199,32,7,
192.168.237.167-23.212.252.120-443-13329-6,192.168.237.167,13329,23.212.252.120,443,6,OTH,0.0,0,294,128,128,0,0,TCP,0,0,0,5,0,0,2,25,0,58,0,0,0.0,0.0,2024-09-03T12:57:21.996179,2024-09-03T12:57:21.996179,0.0,0.0,0.0,7.1e-05,0.0,False,0,0,False,0,3,2,5,187,135,5,2,
192.168.237.167-35.174.127.31-443-13240-6,192.168.237.167,13240,35.174.127.31,443,6,OTH,0.0,0,660,128,128,0,0,TCP,0,0,0,3,256,256,239,261,0,220,0,0,0.0,0.0,2024-09-03T12:57:24.568199,2024-09-03T12:57:24.568199,0.0,0.0,0.0,0.051574,0.0,False,0,0,False,0,1,0,3,210,158,3,0,
--443-13340-,,13340,,443,,OTH,0.0,0,5199,0,0,0,0,TCP,0,0,0,16,66048,66048,2090,1905,0,324,0,0,0.0,0.0,2024-09-03T12:57:28.721289,2024-09-03T12:57:28.721289,0.0,0.0,0.064315,4.6e-05,0.0,False,0,0,False,0,46,46,270,270,135,16,46,
13.33.28.95-192.168.237.167-443-13341-6,192.168.237.167,13341,13.33.28.95,443,6,OTH,0.0,0,3380,128,128,0,0,TCP,0,0,0,16,65280,65280,2052,444,0,211,0,0,0.0,0.0,2024-09-03T12:57:28.566785,2024-09-03T12:57:28.566785,0.0,0.0,0.104763,9.8e-05,0.0,False,0,0,False,0,17,16,52,273,211,16,16,
192.168.237.167-192.168.237.97-53-62670-17,192.168.237.167,62670,192.168.237.97,53,17,,0.0,0,176,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,88,0,0,0.0,0.0,2024-09-03T12:57:25.620841,2024-09-03T12:57:25.620841,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,24,25,216,49,2,49,25,
192.168.237.167-192.168.237.97-53-49349-17,192.168.237.167,49349,192.168.237.97,53,17,,0.0,0,240,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,120,0,0,0.0,0.0,2024-09-03T12:57:25.621021,2024-09-03T12:57:25.621021,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,25,25,217,50,2,50,25,
192.168.237.167-35.153.224.125-4650-13121-6,192.168.237.167,13121,35.153.224.125,4650,6,OTH,0.0,0,171,128,128,0,0,TLSv1.2,0,0,0,1,256,256,1,1,0,171,0,0,0.0,0.0,2024-09-03T12:57:28.595004,2024-09-03T12:57:28.595004,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,1,0,1,274,1,1,0,
192.168.237.167-192.168.237.97-53-60022-17,192.168.237.167,60022,192.168.237.97,53,17,,0.0,0,166,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,83,0,0,0.0,0.0,2024-09-03T12:57:13.806025,2024-09-03T12:57:13.806025,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,1,3,4,4,2,4,3,
192.168.237.167-192.168.237.97-53-58194-17,192.168.237.167,58194,192.168.237.97,53,17,,0.0,0,154,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,77,0,0,0.0,0.0,2024-09-03T12:57:13.813278,2024-09-03T12:57:13.813278,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,2,3,5,5,2,5,3,
192.168.237.167-192.168.237.97-53-53578-17,192.168.237.167,53578,192.168.237.97,53,17,,0.0,0,235,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,117,0,0,0.0,0.0,2024-09-03T12:57:13.824141,2024-09-03T12:57:13.824141,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,3,3,6,6,2,6,3,
--443-57349-,,57349,,443,,,0.0,0,40558,0,0,0,0,QUIC,0,0,0,66,0,0,0,0,0,614,0,0,0.0,0.0,2024-09-03T12:57:15.244683,2024-09-03T12:57:15.244683,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,66,66,132,132,66,66,66,
192.168.237.167-52.57.79.4-443-13145-6,52.57.79.4,443,192.168.237.167,13145,6,OTH,0.0,0,335,51,51,0,0,TCP,0,0,0,5,464,464,25,29,0,67,0,0,0.0,0.0,2024-09-03T12:58:00.563444,2024-09-03T12:58:00.563444,0.0,0.0,0.0,0.175926,0.0,False,0,0,False,0,2,1,343,5,5,250,1,
162.159.133.234-192.168.237.167-443-13132-6,192.168.237.167,13132,162.159.133.234,443,6,OTH,0.0,0,602,128,128,0,0,TCP,0,0,0,8,256,256,103,69,0,75,0,0,0.0,0.0,2024-09-03T12:57:57.068221,2024-09-03T12:57:57.068221,0.0,0.0,0.0,0.040899,0.0,False,0,0,False,0,2,2,8,333,244,8,2,
162.19.234.38-192.168.237.167-443-13083-6,192.168.237.167,13083,162.19.234.38,443,6,OTH,0.0,0,1266,128,128,0,0,TCP,0,0,0,22,255,255,2,1,0,57,0,0,0.0,0.0,2024-09-03T12:58:07.479143,2024-09-03T12:58:07.479143,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,11,11,22,369,272,22,11,
192.168.237.167-192.168.237.97-53-62255-17,192.168.237.167,62255,192.168.237.97,53,17,,0.0,0,198,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,99,0,0,0.0,0.0,2024-09-03T12:57:16.896592,2024-09-03T12:57:16.896592,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,4,6,19,10,2,10,6,
192.168.237.167-192.168.237.97-53-56579-17,192.168.237.167,56579,192.168.237.97,53,17,,0.0,0,174,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,87,0,0,0.0,0.0,2024-09-03T12:57:16.896735,2024-09-03T12:57:16.896735,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,5,6,20,11,2,11,6,
